start_date,end_date,pollster_client,area,sample_size,brexit,change_uk,conservative,green,labour,liberal_democrat,plaid_cymru,scottish_national_party,ukip,other
2019-04-02,2019-04-05,BMG/The Independent,GB,1500,0.06,0.08,0.29,0.04,0.31,0.08,0.01,0.03,0.07,0.03
2019-04-02,2019-04-03,YouGov/The Times,GB,1771,0.07,0.03,0.32,0.05,0.31,0.12,0.04,0.06,NA,0
2019-03-28,2019-03-30,Deltapoll/The Mail on Sunday,GB,1010,0.06,0.09,0.32,0.02,0.35,0.07,0.01,0.02,0.06,0
2019-03-28,2019-03-29,Opinium/The Observer Archived 16 May 2019 at the Wayback Machine,GB,2008,NA,NA,0.35,0.05,0.35,0.09,0,0.04,0.09,0.03
2019-03-24,2019-03-25,YouGov/The Times,GB,2110,0.04,0.02,0.36,0.05,0.33,0.11,0.04,0.05,NA,0
2019-03-22,2019-03-24,ComRes/Leave Means Leave,GB,2030,NA,0.09,0.33,0.03,0.33,0.08,0.01,0.03,0.07,0.03
2019-03-20,2019-03-22,Opinium/The Observer,GB,2002,NA,NA,0.36,0.04,0.35,0.07,0.01,0.05,0.09,0.03
2019-03-20,2019-03-21,ComRes/Daily Express,GB,2063,NA,0.06,0.34,0.04,0.35,0.08,0.01,0.03,0.07,0.02
2019-03-15,2019-03-19,Ipsos MORI,GB,1050,0.01,0.02,0.38,0.04,0.34,0.08,0.01,0.05,0.07,0
2019-03-15,2019-03-17,ComRes/The Daily Telegraph,GB,2033,NA,0.07,0.34,0.03,0.35,0.08,0.01,0.03,0.06,0.03
2019-03-15,2019-03-15,Survation/Daily Mail,UK,1007,NA,NA,0.35,NA,0.39,0.1,0,0.03,NA,0.13
2019-03-14,2019-03-15,YouGov/People's Vote,GB,1823,NA,NA,0.35,NA,0.33,0.11,NA,NA,NA,0.21
2019-03-14,2019-03-15,YouGov/The Times,GB,1756,0.06,0.02,0.35,0.04,0.31,0.12,0.04,0.04,NA,0.02
2019-03-13,2019-03-15,Opinium/The Observer,GB,2003,NA,0.04,0.35,0.04,0.35,0.07,0,0.05,0.08,0.02
2019-03-07,2019-03-11,Kantar,GB,1152,NA,NA,0.41,0.06,0.31,0.08,0,0.05,0.06,0.03
2019-03-04,2019-03-08,BMG/The Independent,GB,1510,NA,0.05,0.37,0.05,0.31,0.1,0.01,0.03,0.06,0.02
2019-03-04,2019-03-05,ComRes/Brexit Express,GB,2042,NA,0.08,0.36,0.03,0.34,0.08,0,0.03,0.06,0.02
2019-03-03,2019-03-04,YouGov/The Times,GB,2172,0.03,0.03,0.4,0.03,0.31,0.11,0.04,0.05,NA,0
2019-02-26,2019-03-01,Opinium/The Observer,GB,2004,NA,0.05,0.37,0.04,0.33,0.07,0.01,0.04,0.07,0.02
2019-02-22,2019-02-23,YouGov/The Times,GB,1672,0.05,0.03,0.41,0.02,0.3,0.1,0.04,0.05,NA,0
2019-02-21,2019-02-23,Deltapoll/The Mail on Sunday,GB,1027,NA,0.11,0.39,0.03,0.31,0.05,0,0.05,0.04,0.02
2019-02-20,2019-02-22,Opinium/The Observer,GB,2008,NA,0.06,0.4,0.04,0.32,0.05,0.01,0.04,0.07,0.01
2019-02-19,2019-02-19,Sky Data,UK,1034,NA,0.1,0.32,0.04,0.26,0.09,0.01,0.04,0.06,0.08
2019-02-18,2019-02-19,YouGov/The Times,GB,1861,NA,0.14,0.38,NA,0.26,0.07,NA,NA,NA,0.15
2019-02-18,2019-02-18,Survation/Daily Mail,UK,1023,NA,NA,0.4,0.02,0.36,0.1,NA,0.03,0.05,0.04
2019-02-13,2019-02-15,Opinium/The Observer,GB,2005,NA,NA,0.37,0.04,0.37,0.08,0,0.04,0.07,0.03
2019-02-07,2019-02-11,Kantar,GB,1145,NA,NA,0.4,0.04,0.35,0.1,0.01,0.04,0.03,0.03
2019-02-04,2019-02-08,BMG,GB,1503,NA,NA,0.38,0.05,0.35,0.13,0.01,0.03,0.05,0
2019-02-02,2019-02-07,YouGov/The Times,GB,40119,NA,NA,0.39,0.04,0.34,0.11,0.01,0.03,0.05,0.03
2019-02-01,2019-02-05,Ipsos MORI,GB,1005,NA,NA,0.38,0.03,0.38,0.1,0.01,0.04,0.04,0.02
2019-02-03,2019-02-04,YouGov/The Times,GB,1851,NA,NA,0.41,0.04,0.34,0.1,0,0.04,0.04,0.03
2019-01-30,2019-02-01,Opinium/The Observer,GB,2008,NA,NA,0.41,0.04,0.34,0.08,0.01,0.04,0.07,0.01
2019-01-30,2019-01-30,Survation/Daily Mail,UK,1029,NA,NA,0.38,0.02,0.39,0.09,0,0.03,0.04,0.05
2019-01-23,2019-01-25,Opinium/People's Vote,GB,2001,NA,NA,0.4,0.04,0.36,0.07,0,0.03,0.07,0.03
2019-01-16,2019-01-18,ICM,GB,2046,NA,NA,0.39,0.03,0.4,0.09,0,0.03,0.05,0.01
2019-01-16,2019-01-18,Opinium/The Observer,GB,2006,NA,NA,0.37,0.04,0.4,0.07,0.01,0.05,0.07,-0.01
2019-01-16,2019-01-17,ComRes/Sunday Mirror/Sunday Express,GB,2031,NA,NA,0.38,0.03,0.37,0.1,0.01,0.03,0.06,0.02
2019-01-10,2019-01-17,Number Cruncher Politics,UK,1030,NA,NA,0.41,0.02,0.39,0.08,0.01,0.03,0.04,0.02
2019-01-14,2019-01-15,ComRes/Daily Express,GB,2010,NA,NA,0.37,0.03,0.39,0.08,0,0.03,0.07,0.03
2019-01-13,2019-01-14,YouGov/The Times,GB,1701,NA,NA,0.39,0.04,0.34,0.11,0.01,0.04,0.06,0.01
2019-01-10,2019-01-14,Kantar,GB,1106,NA,NA,0.35,0.04,0.38,0.09,0.01,0.04,0.06,0.03
2019-01-10,2019-01-11,Survation/Daily Mail,UK,1013,NA,NA,0.38,0.02,0.41,0.1,0,0.03,0.04,0.02
2019-01-08,2019-01-11,BMG/The Independent,GB,1514,NA,NA,0.36,0.05,0.36,0.12,0.01,0.03,0.06,0.01
2019-01-06,2019-01-07,YouGov/The Times,GB,1656,NA,NA,0.41,0.03,0.35,0.11,0,0.04,0.04,0.02
2018-12-21,2019-01-04,YouGov/People's Vote,UK,25537,NA,NA,0.4,0.04,0.34,0.1,0,0.04,0.04,0.04
