Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,
,Jan,17-23,17/01/2008,1,MORI,,37,-5,37,37,0,38,3,36,40,-4,16,2,17,16,1,-1,-8,F2F
,Jan,18-20,18/01/2008,26,ICM,GU,37,-3,,,,35,2,,,,20,2,,,,2,-5,Phone
,Jan,21-23,21/01/2008,26,YouGov,DT,41,-2,40,42,-2,33,0,33,33,0,16,2,17,15,2,8,-2,Internet
,Jan,25-27,25/01/2008,29,ComRes,Ind,38,-3,38,38,0,30,0,30,31,-1,17,1,16,18,-2,8,-3,Phone
,Jan,30-31,30/01/2008,2,ICM,STel,37,0,,,,32,-3,,,,21,1,,,,5,3,Phone
,Feb,1-3,01/02/2008,4,Populus,TT,40,3,,,,31,-2,,,,17,-2,,,,9,5,Phone
,Feb,8-11,08/02/2008,,MORI,,42,1,43,41,2,33,1,31,34,-3,13,-4,13,14,-1,9,0,Phone
,Feb,14-15,14/02/2008,16,YouGov,ST,41,0,40,44,-4,32,-1,33,30,3,16,0,15,15,0,9,1,Internet
,Feb,15-17,15/02/2008,20,ICM,GU,37,0,,,,34,2,,,,21,0,,,,3,-2,Phone
,Feb,18-20,18/02/2008,22,YouGov,Econ,40,-1,37,43,-6,34,2,34,34,0,16,0,16,15,1,6,-3,Internet
,Feb,21-26,21/02/2008,,MORI,,39,2,39,38,1,37,-1,35,40,-5,16,0,17,14,3,2,3,F2F
,Feb,22-24,22/02/2008,26,ComRes,Ind,41,3,41,41,0,30,0,26,33,-7,17,0,19,16,3,11,3,Phone
,Feb,25-27,25/02/2008,1,YouGov,DT,40,0,38,43,-5,33,-1,33,34,-1,16,0,17,15,2,7,1,Internet
,Mar,7-9,07/03/2008,11,Populus,TT,37,-3,,,,34,3,,,,19,2,,,,3,-6,Phone
,Mar,7-9,07/03/2008,,MORI,,41,-1,44,39,5,32,0,27,35,-8,15,0,15,16,-1,9,-1,Phone
,Mar,12-13,14/03/2008,16,ICM,NOTW,40,3,,,,31,-3,,,,20,-1,,,,9,6,Phone
,Mar,13-14,13/03/2008,16,YouGov,ST,43,3,42,45,-3,27,-6,27,28,-1,16,0,17,15,2,16,9,Internet
,Mar,13-18,13/03/2008,1,MORI,,40,1,43,37,6,35,-2,34,36,-2,18,2,16,20,-4,5,3,F2F
,Mar,14-16,14/03/2008,18,ICM,GU,42,2,,,,29,-2,,,,21,1,,,,13,4,Phone
,Mar,25-27,25/03/2008,28,YouGov,DT,43,0,42,44,-2,29,2,28,30,-2,17,1,17,16,1,14,-2,Internet
,Mar,28-30,28/03/2008,1,ComRes,Ind,38,-3,36,39,-3,31,1,31,31,0,17,0,17,17,0,7,-4,Phone
,Apr,2-3,02/04/2008,6,ICM,STel,43,1,,,,32,3,,,,18,-3,,,,11,-2,Phone
,Apr,4-6,04/04/2008,8,Populus,TT,39,2,,,,33,-1,,,,17,-2,,,,6,3,Phone
,Apr,10-11,10/04/2008,13,YouGov,ST,44,1,42,47,-5,28,-1,29,27,2,17,0,18,16,2,16,2,Internet
,Apr,16-17,16/04/2008,20,Populus,SMirror,40,1,,,,30,-3,,,,19,2,,,,10,4,Phone
,Apr,18-20,18/04/2008,21,ICM,GU,39,-4,,,,34,2,,,,19,1,,,,5,-6,Phone
,Apr,18-20,18/04/2008,,MORI,,38,-3,40,36,4,32,0,28,37,-9,17,2,17,17,0,6,-3,Phone
,Apr,21-23,21/04/2008,24,YouGov,DT,44,0,44,45,-1,26,-2,25,26,-1,17,0,16,19,-3,18,2,Internet
,Apr,17-22,17/04/2008,27,MORI,OB,40,0,39,42,-3,31,-4,33,29,4,19,1,18,20,-2,9,4,F2F
,Apr,23-24,23/04/2008,27,ICM,STel,39,0,,,,29,-5,,,,20,1,,,,10,5,Phone
,Apr,25-27,25/04/2008,29,ComRes,Ind,40,2,41,38,3,26,-5,25,27,-2,20,3,17,23,-6,14,7,Phone
,May,2-4,02/05/2008,7,Populus,TT,40,0,,,,29,-1,,,,19,0,,,,11,1,Phone
,May,7-8,07/05/2008,9,YouGov,Sun,49,5,49,50,-1,23,-3,24,22,2,17,0,15,19,-4,26,8,Internet
,May,15-16,15/05/2008,18,YouGov,ST,45,-4,44,47,-3,25,2,27,24,3,18,1,17,19,-2,20,-6,Internet
,May,14-15,14/05/2008,18,ComRes,IoS,43,3,43,42,1,26,0,27,25,2,19,-1,18,20,-2,17,3,Phone
,May,15-18,15/05/2008,,MORI,,41,3,42,40,2,28,-4,28,29,-1,20,3,18,22,-4,13,7,Phone
,May,15-20,15/05/2008,,MORI,,45,5,43,45,-2,32,1,31,32,-1,14,-5,13,16,-3,13,4,F2F
,May,16-18,16/05/2008,20,ICM,GU,41,2,,,,27,-2,,,,22,2,,,,14,4,Phone
,May,27-29,27/05/2008,30,YouGov,DT,47,2,45,49,-4,23,-2,23,23,0,18,0,19,17,2,24,4,Internet
,May,30-1,30/05/2008,2,ComRes,Ind,44,1,42,45,-3,30,4,33,28,5,16,-3,16,17,-1,14,-3,Phone
,Jun ,4-5,04/06/2008,8,ICM,STel,42,1,,,,26,-1,,,,21,-1,,,,16,2,Phone
,Jun ,6-8,06/06/2008,10,Populus,TT,45,5,,,,25,-4,,,,20,1,,,,20,9,Phone
,Jun ,11-12,11/06/2008,15,ComRes,IoS,44,0,45,43,2,26,-4,25,28,-3,17,1,16,18,-2,18,4,Phone
,Jun ,12-13,12/06/2008,15,YouGov,ST,47,0,48,47,1,25,2,26,23,3,18,0,16,20,-4,22,-2,Internet
,Jun ,13-15,13/06/2008,27,MORI,Ind,45,0,44,46,-2,28,-5,27,29,-2,16,2,17,15,2,17,4,Phone
,Jun ,18-20,18/06/2008,22,BPIX,MoS,49,,,,,26,,,,,14,,,,,23,,Internet
,Jun ,20-22,20/06/2008,25,ICM,GU,45,3,,,,25,-1,,,,20,-1,,,,20,4,Phone
,Jun ,23-25,23/06/2008,27,YouGov,DT,46,-1,45,48,-3,28,3,30,25,5,15,-3,14,16,-2,18,-4,Internet
,Jun ,25-26,25/06/2008,28,ComRes,Ind,46,2,46,46,0,25,-1,25,25,0,18,1,16,20,-4,21,3,Phone
,Jul  ,4-6,04/07/2008,8,Populus,TT,41,-4,,,,28,3,,,,19,-1,,,,13,-7,Phone
,Jul  ,10-11,10/07/2008,13,YouGov,ST,47,1,45,48,-3,25,-3,26,25,1,16,1,16,16,0,22,4,Internet
,Jul  ,16-17,16/07/2008,20,ComRes,IoS,45,-1,44,46,-2,24,-1,24,25,-1,16,-2,16,17,-1,21,0,Phone
,Jul  ,18-20,18/07/2008,22,ICM,GU,43,-2,,,,28,3,,,,19,-1,,,,15,-5,Phone
,Jul  ,18-20,18/07/2008,23,MORI,,47,2,47,46,1,27,-1,30,25,5,15,-1,13,18,-5,20,3,Phone
,Jul  ,23-24,23/07/2008,26,ComRes,Ind,46,1,46,46,0,24,0,24,24,0,18,2,18,19,-1,22,1,Phone
,Jul  ,23-25,23/07/2008,28,YouGov,DT,45,-2,43,48,-5,26,1,29,24,5,17,1,16,18,-2,19,-3,Internet
,Jul  ,25-27,25/07/2008,29,Populus,TT,43,2,,,,27,-1,,,,18,-1,,,,16,3,Phone
,Jul  ,29-31,29/07/2008,1,YouGov,DT,47,2,45,49,-4,25,-1,26,23,3,16,-1,15,18,-3,22,3,Internet
,Jul  ,31-2,31/07/2008,3,BPIX,MoS,47,-2,,,,24,-2,,,,16,2,,,,23,0,Internet
,Jul  ,30-1,30/07/2008,3,ICM,S Express,45,2,,,,29,1,,,,16,-3,,,,16,1,Phone
,Aug,6-8,06/08/2008,10,YouGov,NOTW,46,-1,46,46,0,26,1,26,26,0,17,1,16,17,-1,20,-2,Internet
,Aug,14-15,14/08/2008,17,YouGov,ST,45,-1,42,47,-5,25,1,27,24,3,18,1,18,18,0,20,0,Internet
,Aug,15-17,15/08/2008,19,ICM,GU,44,-1,,,,29,0,,,,19,3,,,,15,-1,Phone
,Aug,15-17,15/08/2008,21,MORI,,48,1,45,50,-5,24,-3,28,21,7,16,1,14,19,-5,24,4,Phone
,Aug,19-21,19/08/2008,,YouGov,Compass,48,3,43,52,-9,26,1,29,24,5,16,-2,17,15,2,22,2,Internet
,Aug,20-21,20/08/2008,24,ComRes,IoS,46,0,52,41,11,25,1,24,26,-2,16,-2,13,19,-6,21,-1,Phone
,Aug,26-27,29/08/2008,29,YouGov,DT,45,-3,42,49,-7,26,0,28,25,3,16,0,17,15,2,19,-3,Internet
,Aug,29-31,29/08/2008,2,Populus,TT,43,0,,,,27,0,,,,18,0,,,,16,0,Phone
,Sep,3-4,03/09/2008,6,ComRes,Ind,44,-2,47,40,7,25,0,25,26,-1,17,1,16,19,-3,19,-2,Phone
,Sep,10-12,10/09/2008,14,YouGov,ST,46,1,43,49,-6,27,1,28,27,1,16,0,15,16,-1,19,0,Internet
,Sep,12-14,12/09/2008,18,MORI,,52,4,53,51,2,24,0,25,23,2,12,-5,11,13,-2,28,4,Phone
,Sep,17-18,17/09/2008,21,ComRes,IoS,39,-5,39,40,-1,27,2,27,27,0,21,4,21,22,-1,12,-7,Phone
,Sep,17-19,17/09/2008,20,YouGov,DT,44,-2,43,45,-2,24,-3,23,25,-2,20,4,20,20,0,20,1,Internet
,Sep,23-24,23/09/2008,25,YouGov,Sun,41,-3,39,45,-6,31,7,35,28,7,16,-4,14,17,-3,10,-10,Internet
,Sep,24-25,24/09/2008,27,ICM,GU,41,-3,,,,32,3,,,,18,-1,,,,9,-6,Phone
,Sep,24-26,24/09/2008,28,BPIX,STel,43,-4,,,,31,7,,,,17,1,,,,12,-11,Internet
,Sep,26-28,26/09/2008,30,ComRes,Ind,41,2,45,37,8,29,2,26,31,-5,18,-3,17,19,-2,12,0,Phone
,Oct,1-2,01/10/2008,3,ICM,GU,42,1,,,,30,-2,,,,17,-1,,,,12,3,Phone
,Oct,1-3,01/10/2008,4,YouGov,DT,45,4,44,46,-2,31,0,32,31,1,15,-1,14,16,-2,14,4,Internet
,Oct,3-5,03/10/2008,7,Populus,TT,45,2,,,,30,3,,,,15,-3,,,,15,-1,Phone
,Oct,9-10,09/10/2008,12,YouGov,ST,43,-2,43,44,-1,33,2,33,33,0,14,-1,12,16,-4,10,-4,Internet
,Oct,15-16,15/10/2008,19,ComRes,IoS,40,-1,39,42,-3,31,2,28,34,-6,16,-2,16,16,0,9,-3,Phone
,Oct,15-17,15/10/2008,20,YouGov,Mirror,42,-1,41,43,-2,34,1,35,33,2,14,0,14,14,0,8,-2,Internet
,Oct,16-18,16/10/2008,19,BPIX,MoS,46,3,,,,30,-1,,,,13,-4,,,,16,4,Internet
,Oct,17-19,17/10/2008,21,ICM,GU,42,0,,,,30,0,,,,21,4,,,,12,0,Phone
,Oct,17-19,17/10/2008,22,MORI,,45,-7,48,42,6,30,6,32,28,4,14,2,10,20,-10,15,-13,Phone
,Oct,24-26,28/10/2008,28,ComRes,Ind,39,-1,40,38,2,31,0,30,31,-1,16,0,14,18,-4,8,-1,Phone
,Oct,27-29,27/10/2008,31,YouGov,DT,42,0,40,44,-4,33,-1,34,32,2,15,1,15,15,0,9,1,Internet
,Oct,,31/10/2008,2,BPIX,MoS,45,-1,,,,31,1,,,,13,0,,,,14,2,Internet
,Nov,5-6,05/11/2008,9,ICM,STel,43,1,,,,30,0,,,,18,-3,,,,13,1,Phone
,Nov,7-9,07/11/2008,10,Populus,TT,41,-4,,,,35,5,,,,16,1,,,,6,-9,Phone
,Nov,14-16,14/11/2008,,MORI,,40,-5,43,38,5,37,7,37,38,-1,12,-2,11,14,-3,3,-12,Phone
,Nov,13-14/11,13/11/2008,16,YouGov,ST,41,-1,39,43,-4,36,3,36,35,1,14,-1,13,14,-1,5,-4,Internet
,Nov,12-13,12/11/2008,16,ComRes,IoS,43,4,44,42,2,32,1,30,35,-5,12,-4,13,12,1,11,3,Phone
,Nov,19-20,19/11/2008,23,ICM,SMirror,42,-1,,,,31,1,,,,19,1,,,,11,-2,Phone
,Nov,24-25,24/11/2008,26,YouGov,DT,40,-1,37,42,-5,36,0,39,33,6,14,0,15,14,1,4,-1,Internet
,Nov,25-26,25/11/2008,29,ICM,GU,45,3,,,,30,-1,,,,18,-1,,,,15,4,Phone
,Nov,27-28,27/11/2008,30,MORI,OB,43,3,39,47,-8,32,-5,34,30,4,15,3,14,17,-3,11,8,Phone
,Nov,28-30,28/11/2008,2,ComRes,Ind,37,-6,42,33,9,36,4,33,39,-6,17,5,15,20,-5,1,-10,Phone
,Dec,5-7,05/12/2008,8,Populus,TT,39,-2,,,,35,0,,,,17,1,,,,4,-2,Phone
,Dec,10-11,10/12/2008,14,ComRes,IoS,37,0,39,36,3,36,0,33,39,-6,14,-3,17,12,5,1,0,Phone
,Dec,11-12,11/12/2008,14,YouGov,ST,41,1,41,41,0,35,-1,36,34,2,15,1,14,16,-2,6,2,Internet
,Dec,10-11,10/12/2008,15,MORI,Mirror,41,-2,41,41,0,36,4,34,39,-5,11,-4,13,8,5,5,-6,Phone
,Dec,12-14,12/12/2008,17,ICM,GU,38,-7,,,,33,3,,,,19,1,,,,5,-10,Phone
,Dec,12-14,12/12/2008,17,MORI,,39,-2,41,36,5,35,-1,35,36,-1,15,4,14,17,-3,4,-1,Phone
,Dec,16-18,16/12/2008,20,YouGov,DT,42,1,41,43,-2,35,0,35,34,1,14,-1,14,14,0,7,1,Internet
,Dec,19-21,19/12/2008,23,ComRes,Ind,39,2,41,37,4,34,-2,30,38,-8,16,2,16,16,0,5,4,Phone
2009,Jan,7-8,07/01/2009,9,YouGov,Sun,41,-1,39,43,-4,34,-1,36,33,3,15,1,15,15,0,7,0,Internet
,Jan,9-11,09/01/2009,13,Populus,TT,43,4,,,,33,-2,,,,15,-2,,,,10,6,Phone
,Jan,14-15,14/01/2009,17,ComRes,IoS,41,2,41,41,0,32,-2,35,29,6,15,-1,12,19,-7,9,4,Phone
,Jan,15-16,15/01/2009,17,YouGov,ST,45,4,44,46,-2,32,-2,34,30,4,14,-1,14,15,-1,13,6,Internet
,Jan,16-18,16/01/2009,,MORI,,44,5,45,43,2,30,-5,31,26,5,17,2,14,20,-6,14,10,Phone
,Jan,21-22,21/01/2009,26,ComRes,Ind,43,2,44,41,3,28,-4,28,28,0,16,1,14,18,-4,15,6,Phone
,Jan,23-25,23/01/2009,27,ICM,GU,44,6,,,,32,-1,,,,16,-3,,,,12,7,Phone
,Jan,27-29,27/01/2009,30,YouGov,DT,43,-2,41,44,-3,32,0,33,31,2,16,2,15,17,-2,11,-2,Internet
,Feb,4-5,04/02/2009,8,ICM,STel,40,-4,,,,28,-4,,,,22,6,,,,12,0,Phone
,Feb,6-8,06/02/2009,10,Populus,TT,42,-1,,,,28,-5,,,,18,3,,,,14,4,Phone
,Feb,11-12,11/02/2009,15,ComRes,IoS,41,-2,42,40,2,25,-3,23,27,-4,22,6,19,25,-6,16,1,Phone
,Feb,12-13,12/02/2009,15,YouGov,ST,44,1,41,46,-5,32,0,34,31,3,14,-2,14,15,-1,12,1,Internet
,Feb,13-15,13/02/2009,17,MORI,,48,4,47,49,-2,28,-2,29,27,2,17,0,17,17,0,20,6,Phone
,Feb,20-22,20/02/2009,24,ICM,GU,42,2,,,,30,2,,,,18,-4,,,,12,0,Phone
,Feb,26-26,24/02/2009,27,YouGov,DT,41,-3,37,46,-9,31,-1,33,29,4,15,1,15,16,-1,10,-2,Internet
,Feb,27-1,27/02/2009,3,ComRes,Ind,44,3,45,42,3,28,3,26,31,-5,17,-5,17,17,0,16,0,Phone
,Mar,6-8,06/03/2009,9,Populus,TT,42,0,,,,30,2,,,,19,1,,,,12,-2,Phone
,Mar,12-13,12/03/2009,15,YouGov,ST,41,0,38,45,-7,31,0,33,29,4,17,2,17,16,1,10,0,Internet
,Mar,13-15,13/03/2009,17,MORI,,42,-6,41,44,-3,32,4,35,27,8,14,-3,13,16,-3,10,-10,Phone
,Mar,13-15,13/03/2009,18,ICM,GU,42,0,,,,30,0,,,,20,2,,,,12,0,Phone
,Mar,18-19,18/03/2009,22,ComRes,IoS,41,-3,41,41,0,30,2,29,30,-1,17,0,16,18,-2,11,-5,Phone
,Mar,24-26,24/03/2009,27,YouGov,DT,41,0,39,43,-4,31,0,33,28,5,17,0,17,18,-1,10,0,Internet
,Mar,25-26,25/03/2009,29,ICM,STel,44,2,,,,31,1,,,,18,-2,,,,13,1,Phone
,Mar,27-29,27/03/2009,31,ComRes,Ind,40,-1,42,38,4,28,-2,27,29,-2,18,1,16,19,-3,12,1,Phone
,Apr,3-4,03/04/2009,5,YouGov,ST,41,0,38,43,-5,34,3,35,32,3,16,-1,15,17,-2,7,-3,Internet
,Apr,3-6,03/04/2009,7,Populus,TT,43,1,,,,30,0,,,,18,-1,,,,13,1,Phone
,Apr,15-16,15/04/2009,19,Mkting Sciences,STel,43,-1,,,,26,-5,,,,21,3,,,,17,,Phone
,Apr,16-18,16/04/2009,19,BPIX,MoS,45,,,,,26,,,,,17,,,,,19,,Internet
,Apr,17-19,17/04/2009,21,ICM,GU,40,-4,,,,30,-1,,,,19,1,,,,10,-3,Phone
,Apr,17-19,17/04/2009,21,MORI,,41,-1,38,44,-6,28,-4,31,25,6,22,8,20,25,-5,13,3,Phone
,Apr,22-23,22/04/2009,24,YouGov,DT,45,4,42,49,-7,27,-7,29,25,4,18,2,17,19,-2,18,11,Internet
,Apr,23-24,23/04/2009,26,YouGov,People,45,0,43,47,-4,27,0,27,27,0,17,-1,16,18,-2,18,0,Internet
,Apr,24-26,24/04/2009,28,ComRes,Ind,45,5,46,44,2,26,-2,27,25,2,17,-1,16,18,-2,19,7,Phone
,May,1-4,01/05/2009,,ICM,TPA,41,1,,,,27,-3,,,,21,2,,,,14,4,Phone
,May,7-8,07/05/2009,10,BPIX,MoS,45,0,,,,23,-3,,,,17,,,,,22,3,Internet
,May,7-8,07/05/2009,10,YouGov,ST,43,-2,41,46,-5,27,0,27,26,1,18,1,18,19,-1,16,-2,Internet
,May,8-10,08/05/2009,12,Populus,TT,39,-4,,,,26,-4,,,,22,4,,,,13,0,Phone
,May,13-14,13/05/2009,15,YouGov,Sun,41,-2,40,43,-3,22,-5,21,24,-3,19,1,19,18,1,19,3,Internet
,May,13-14,13/05/2009,17,ComRes,Ios,40,-5,40,39,1,21,-5,20,22,-2,18,0,15,20,-5,19,0,Phone
,May,14-16,14/05/2009,17,BPIX,MoS,42,-3,,,,20,-3,,,,15,-2,,,,22,0,Internet
,May,14-16,14/05/2009,18,YouGov,DT,39,-2,37,40,-3,23,1,23,23,0,19,0,19,19,0,16,-3,Internet
,May,15-17,15/05/2009,19,ICM,GU,39,-2,,,,28,1,,,,20,-1,,,,11,-3,Phone
,May,19-20,19/05/2009,22,Populus,ITV,39,-1,,,,27,1,,,,17,-5,,,,12,-2,Phone
,May,27-28,27/05/2009,30,Populus,TT,41,2,,,,21,-6,,,,15,-2,,,,20,8,Phone
,May,27-28,27/05/2009,31,ICM,STel,40,1,,,,22,-6,,,,25,5,,,,18,7,Phone
,May,27-29,27/05/2009,1,YouGov,DT,39,0,38,41,-3,22,-1,24,19,5,18,-1,18,19,-1,17,1,Internet
,May,29-31,29/05/2009,1,MORI,,40,-1,38,42,-4,18,-10,17,20,-3,18,-4,17,19,-2,22,11,Phone
,May,29-31,29/05/2009,2,ComRes,Ind,30,-10,28,33,-5,22,1,24,20,4,18,0,16,20,-4,8,-11,Phone
,May,29-4,29/05/2009,8,YouGov,C4,37,-2,,,,22,0,,,,19,1,,,,15,-2,Internet
,Jun,2-3,02/06/2009,4,YouGov,DT,37,0,35,39,-4,21,-1,22,21,1,19,0,20,18,2,16,1,Internet
,Jun,5-7,05/06/2009,9,ComRes,Ind,38,8,39,37,2,22,0,17,27,-10,20,2,23,18,5,16,8,Phone
,Jun,9-10,09/06/2009,12,Populus,TT,36,-5,,,,24,3,,,,19,4,,,,12,-8,Phone
,Jun,10-17,10/06/2009,23,Harris,Metro,35,,,,,20,,,,,16,,,,,15,,Internet
,Jun,11-12,11/06/2009,14,YouGov,ST,40,3,36,44,-8,24,3,25,22,3,18,-1,20,16,4,16,0,Internet
,Jun,12-14,16/06/2009,16,ICM,GU,39,-1,,,,27,5,,,,18,-7,,,,12,-6,Phone
,Jun,12-14,12/06/2009,16,MORI,Unison,39,-1,37,40,-3,25,7,25,25,0,19,1,21,17,4,14,-8,Phone
,Jun,17-18,17/06/2009,21,ComRes,IoS,39,1,39,39,0,22,0,20,24,-4,18,-2,17,19,-2,17,1,Phone
,Jun,19-21,19/06/2009,23,MORI,,38,-1,38,39,-1,21,-4,25,17,8,19,0,15,23,-8,17,3,Phone
,Jun,23-25,23/06/2009,26,YouGov,DT,38,-2,37,39,-2,25,1,27,24,3,18,0,18,19,-1,13,-3,Internet
,Jun,24-26,24/06/2009,28,YouGov,People,40,2,38,42,-4,24,-1,26,22,4,17,-1,18,17,1,16,3,Internet
,Jun,26-28,26/06/2009,30,ComRes,Ind,36,-3,37,34,3,25,3,26,23,3,19,1,18,20,-2,11,-6,Phone
,Jul,1-3,01/07/2009,,YouGov,Fabians,39,-1,36,41,-5,26,2,27,25,2,19,2,21,16,5,13,-3,Internet
,Jul,10-11,10/07/2009,14,ICM,GU,41,2,,,,27,0,,,,20,2,,,,14,2,Phone
,Jul,15-16,15/07/2009,19,ComRes,IoS,38,2,41,36,5,23,-2,19,27,-8,22,3,22,22,0,15,4,Phone
,Jul,16-17,16/07/2009,18,YouGov,ST,42,3,41,43,-2,25,-1,25,25,0,18,-1,20,16,4,17,4,Internet
,Jul,17-19,17/07/2009,21,Populus,TT,38,2,,,,26,2,,,,20,1,,,,12,0,Phone
,Jul,17-19,17/07/2009,21,MORI,,40,2,34,47,-13,24,3,24,24,0,18,-1,21,14,7,16,-1,Phone
,Jul,21-23,21/07/2009,26,YouGov,People,40,-2,38,42,-4,25,0,26,24,2,20,2,18,21,-3,15,-2,Internet
,Jul,24-25,24/07/2009,29,ComRes,Ind,42,4,40,44,-4,24,1,23,24,-1,18,-4,20,16,4,18,3,Phone
,Jul,28-30,28/07/2009,31,YouGov,DT,41,1,37,44,-7,27,2,29,25,4,18,-2,18,18,0,14,-1,Internet
,Aug,12-13,12/08/2009,16,ICM,SMirror,43,2,,,,26,-1,,,,19,-1,,,,17,3,Phone
,Aug,13-14,13/08/2009,16,YouGov,ST,42,1,39,45,-6,28,1,29,26,3,18,0,19,17,2,14,0,Internet
,Aug,19-20,19/08/2009,23,ComRes,IoS,41,-1,41,42,-1,24,0,22,27,-5,18,0,18,18,0,17,-1,Phone
,Aug,20-21,20/08/2009,23,BPIX,MoS,36,,,,,24,,,,,17,,,,,12,,Internet
,Aug,21-23,21/08/2009,25,ICM,GU,41,-2,,,,25,-1,,,,19,0,,,,16,-1,Phone
,Aug,21-23,21/08/2009,31,MORI,OB,43,3,41,45,-4,26,2,30,22,8,17,-1,15,20,-5,17,1,Phone
,Aug,25-27,25/08/2009,25,YouGov,DT,42,0,40,44,-4,26,-2,29,24,5,18,0,18,18,0,16,3,Internet
,Aug,27-28,27/08/2009,3,YouGov,Sun,42,0,40,44,-4,28,2,27,28,-1,17,-1,18,15,3,14,-2,Internet
,Sep,4,04/09/2009,,Opinium,,37,,,,,28,,,,,15,,,,,9,,
,Sep,4-6,04/09/2009,7,YouGov,DT,40,-2,37,43,-6,27,-1,26,28,-2,18,1,19,16,3,13,-1,Internet
,Sep,4-6,04/09/2009,8,ComRes,Ind,40,-1,41,38,3,24,0,24,24,0,21,3,20,21,-1,16,-1,Phone
,Sep,10-11,10/09/2009,13,YouGov,ST,41,1,40,42,-2,27,0,29,26,3,17,-1,16,18,-2,14,1,Internet
,Sep,11,11/09/2009,,Opinium,,41,4,,,,27,-1,,,,15,0,,,,14,5,
,Sep,11-13,11/09/2009,15,Populus,TT,41,3,,,,27,1,,,,18,-2,,,,14,2,Phone
,Sep,18,18/09/2009,,Opinium,,42,1,,,,28,1,,,,18,3,,,,14,0,
,Sep,18-20,18/09/2009,21,ICM,GU,43,2,,,,26,1,,,,19,0,,,,17,1,Phone
,Sep,20-21,20/09/2009,21,YouGov,Sky,39,,39,39,0,30,,30,30,0,17,,18,17,1,9,,Internet
,Sep,21-22,21/09/2009,22,YouGov,Sky,39,0,39,39,0,27,-3,27,28,-1,20,3,21,19,2,12,3,Internet
,Sep,22-23,22/09/2009,23,YouGov,Sky,38,-1,36,40,-4,28,1,31,25,6,19,-1,17,21,-4,10,-2,Internet
,Sep,22-24,22/09/2009,26,YouGov,DT,39,-2,36,43,-7,26,-1,28,24,4,20,3,20,20,0,13,-1,Internet
,Sep,23-24,23/09/2009,24,YouGov,Sky,38,0,34,42,-8,25,-3,28,22,6,23,4,23,23,0,13,3,Internet
,Sep,23-24,23/09/2009,27,ICM,NOTW,40,-3,,,,26,0,,,,23,4,,,,14,-3,Phone
,Sep,24-25,24/09/2009,25,YouGov,Sky,40,2,38,43,-5,24,-1,22,27,-5,21,-2,24,19,5,16,3,Internet
,Sep,24-25,24/09/2009,27,BPIX,MoS,40,4,,,,25,1,,,,22,5,,,,15,3,Internet
,Sep,25,25/09/2009,,Opinium,,40,-2,,,,26,-2,,,,18,0,,,,14,0,
,Sep,25-27,25/09/2009,28,ComRes,Ind,38,-2,42,35,7,23,-1,22,25,-3,23,2,18,27,-9,15,-1,Phone
,Sep,25-27,25/09/2009,,MORI,,36,-7,35,37,-2,24,-2,25,24,1,25,8,24,27,-3,12,-5,Phone
,Sep,27-28,27/09/2009,28,YouGov,Sky,39,-1,35,43,-8,29,5,32,25,7,20,-1,22,18,4,10,-6,Internet
,Sep,28-29,28/09/2009,29,YouGov,Sky,40,1,39,42,-3,29,0,29,29,0,18,-2,20,15,5,11,1,Internet
,Sep,29-30,29/09/2009,30,YouGov,Sky,37,-3,36,39,-3,30,1,29,30,-1,21,3,22,20,2,7,-4,Internet
,Sep,29-1,29/09/2009,4,YouGov,People,40,1,38,42,-4,28,2,28,27,1,18,-2,17,19,-2,12,-1,Internet
,Sep,30-1,30/09/2009,1,YouGov,Sky,40,3,39,40,-1,26,-4,27,25,2,20,-1,19,20,-1,14,7,Internet
,Sep,30-1,30/09/2009,4,ComRes,IoS,40,2,41,38,3,28,5,27,30,-3,19,-4,18,20,-2,12,-3,Phone
,Oct,1-2,01/10/2009,2,YouGov,Sky,41,1,38,44,-6,29,3,31,28,3,17,-3,17,17,0,12,-2,Internet
,Oct,2,02/10/2009,,Opinium,,42,2,,,,29,3,,,,16,-2,,,,13,-1,
,Oct,4-5,04/10/2009,5,YouGov,Sky,40,-1,39,41,-2,27,-2,26,29,-3,20,3,22,18,4,13,1,Internet
,Oct,5-6,05/10/2009,6,YouGov,Sky,41,1,39,43,-4,28,1,28,29,-1,18,-2,17,18,-1,13,0,Internet
,Oct,6-7,06/10/2009,7,YouGov,Sky,43,2,38,48,-10,29,1,33,26,7,17,-1,17,16,1,14,1,Internet
,Oct,7-8,07/10/2009,8,YouGov,Sky,40,-3,39,42,-3,31,2,31,30,1,18,1,17,19,-2,9,-5,Internet
,Oct,7-8,07/10/2009,11,ICM,NOTW,45,5,,,,26,0,,,,18,-5,,,,19,5,Phone
,Oct,8-9,08/10/2009,9,YouGov,Sky,44,4,44,44,0,27,-4,27,28,-1,17,-1,16,17,-1,17,8,Internet
,Oct,8-9,08/10/2009,10,BPIX,DM,42,2,,,,28,3,,,,20,-2,,,,14,-1,Internet
,Oct,8-9,08/10/2009,10,YouGov,Sun,42,2,40,45,-5,28,0,30,26,4,18,1,18,18,0,14,2,Internet
,Oct,9,09/10/2009,,Opinium,,40,-2,,,,30,1,,,,15,-1,,,,10,-3,
,Oct,8-9,08/10/2009,11,BPIX,MoS,43,1,,,,29,1,,,,16,-4,,,,14,0,Internet
